antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'服装'}),frozenset({'电子产品'}),0.4872140740740741,0.4842086518518518,0.2224253629629629,0.45652491337749457,0.9428268405191006,1.0,-0.013487907007692784,0.9490616236957589,-0.10575059466881137,0.2969641469538279,-0.05367235913078125,0.4579417097465964
frozenset({'电子产品'}),frozenset({'服装'}),0.4842086518518518,0.4872140740740741,0.2224253629629629,0.4593585061156983,0.9428268405191006,1.0,-0.013487907007692784,0.9484768219356524,-0.10519922787300016,0.2969641469538279,-0.05432202123737624,0.4579417097465964
frozenset({'食品'}),frozenset({'电子产品'}),0.4846506962962963,0.4842086518518518,0.2212783703703703,0.4565728927274447,0.9429259286906289,1.0,-0.013393689902320621,0.9491454166445429,-0.10510679473164261,0.2959925104409845,-0.05357933828015548,0.4567813003115949
frozenset({'电子产品'}),frozenset({'食品'}),0.4842086518518518,0.4846506962962963,0.2212783703703703,0.4569897078957451,0.9429259286906289,1.0,-0.013393689902320621,0.9490599187478376,-0.10502617654799061,0.2959925104409845,-0.05367425201073849,0.4567813003115949
"frozenset({'服装', '食品'})",frozenset({'电子产品'}),0.2226465777777777,0.4842086518518518,0.0990000296296296,0.4446510277307787,0.9183045904492096,1.0,-0.0088073696355766,0.9287697896343698,-0.1026914296281063,0.16286778435000573,-0.076693074172526,0.32455420107595945
"frozenset({'服装', '电子产品'})",frozenset({'食品'}),0.2224253629629629,0.4846506962962963,0.0990000296296296,0.44509325874906885,0.9183794888782258,1.0,-0.008798577404326796,0.9287133591888741,-0.10257323781944476,0.16280863708758445,-0.07675849615578548,0.3246820749502743
"frozenset({'食品', '电子产品'})",frozenset({'服装'}),0.2212783703703703,0.4872140740740741,0.0990000296296296,0.4474003919313297,0.9182829801901591,1.0,-0.008809906702990394,0.927952026093734,-0.1025560066991393,0.162430289899029,-0.0776419166942886,0.32529827666332756
frozenset({'服装'}),"frozenset({'食品', '电子产品'})",0.4872140740740741,0.2212783703703703,0.0990000296296296,0.20319616139532545,0.9182829801901592,1.0,-0.008809906702990394,0.9773065739659218,-0.1478774480051497,0.162430289899029,-0.023220375917444306,0.32529827666332756
frozenset({'食品'}),"frozenset({'服装', '电子产品'})",0.4846506962962963,0.2224253629629629,0.0990000296296296,0.20427089115147973,0.9183794888782258,1.0,-0.008798577404326796,0.9771851103477236,-0.14708869987374146,0.16280863708758445,-0.023347561696020747,0.3246820749502743
frozenset({'电子产品'}),"frozenset({'服装', '食品'})",0.4842086518518518,0.2226465777777777,0.0990000296296296,0.20445737442114023,0.9183045904492096,1.0,-0.0088073696355766,0.9771361046261945,-0.1471064387082114,0.16286778435000573,-0.023398885033065055,0.32455420107595945
frozenset({'服装'}),frozenset({'食品'}),0.4872140740740741,0.4846506962962963,0.2226465777777777,0.4569789536579097,0.9429037390230649,1.0,-0.013482062467577605,0.9490411231299604,-0.10561567808496393,0.2971718786049923,-0.05369511987212519,0.4581874629035073
frozenset({'食品'}),frozenset({'服装'}),0.4846506962962963,0.4872140740740741,0.2226465777777777,0.459395972149105,0.942903739023065,1.0,-0.013482062467577605,0.9485425551941289,-0.10514557651411126,0.2971718786049923,-0.05424895754449299,0.4581874629035073
frozenset({'食品'}),frozenset({'家居'}),0.4846506962962963,0.2510897777777778,0.1136085333333333,0.2344132262710658,0.9335833116970964,1.0,-0.00808230229954901,0.9782172941344248,-0.12130055684396203,0.18261163893637325,-0.02226775788588929,0.3434375141678329
frozenset({'家居'}),frozenset({'食品'}),0.2510897777777778,0.4846506962962963,0.1136085333333333,0.4524618020646,0.9335833116970964,1.0,-0.00808230229954901,0.9412116006644454,-0.08675265898261089,0.18261163893637325,-0.06246034291763217,0.3434375141678329
frozenset({'电子产品'}),frozenset({'家居'}),0.4842086518518518,0.2510897777777778,0.113472474074074,0.23434623408751476,0.9333165059985772,1.0,-0.008107368717484839,0.978131703342034,-0.12166743018241824,0.1824826915960668,-0.02235721077565259,0.3431330806040833
frozenset({'家居'}),frozenset({'电子产品'}),0.2510897777777778,0.4842086518518518,0.113472474074074,0.4519199271206518,0.9333165059985772,1.0,-0.008107368717484839,0.9410875776570918,-0.0870935362303759,0.1824826915960668,-0.06260036126454345,0.3431330806040833
frozenset({'服装'}),frozenset({'家居'}),0.4872140740740741,0.2510897777777778,0.1140722962962963,0.23413177567393753,0.9324623955068031,1.0,-0.008262177293168735,0.9778578069108915,-0.12376524455481405,0.18274035537145167,-0.02264357141971066,0.3442202891548388
frozenset({'家居'}),frozenset({'服装'}),0.2510897777777778,0.4872140740740741,0.1140722962962963,0.4543088026357401,0.932462395506803,1.0,-0.008262177293168735,0.9396998309716749,-0.08818436690284112,0.18274035537145167,-0.06416960718825832,0.3442202891548388
"frozenset({'服装', '食品'})",frozenset({'家居'}),0.2226465777777777,0.2510897777777778,0.0495457481481481,0.22253092161874338,0.8862603790094956,1.0,-0.006358531589056825,0.9632668913103324,-0.1417003332299946,0.11680067234624703,-0.03813388482573045,0.20992688101262189
"frozenset({'服装', '家居'})",frozenset({'食品'}),0.1140722962962963,0.4846506962962963,0.0495457481481481,0.4343363792682479,0.8961843706971832,1.0,-0.005739469679969328,0.9110525846386216,-0.11563719797302098,0.09021813749451559,-0.09763148347431598,0.26828309416926344
